episode,total_reward,x,y,z
1,-252.0,-28.2972459597,-2.44363127237,165.06571508
2,-252.0,-5.91338510618,-0.0425283866153,173.049559957
3,-252.0,-38.2632054758,-2.75949469793,59.243737826
4,-157.955553596,-68.5706121293,-4.35721982434,0.0
5,-161.417445966,-70.0750729961,0.424246742481,0.0
6,-151.540285801,-60.2203945568,-0.802065069386,0.0
7,-166.899870496,-67.5632638978,-4.21471889764,0.0
8,-147.504146847,-67.2832084368,-0.282073158863,0.0
9,-114.343080012,-7.49680485635,-12.3093607084,0.0
10,-132.046676884,-47.0675056596,-14.0504534899,0.0
11,-252.0,-107.466867182,1.90621505422,49.4038647444
12,-251.998872987,-82.2384015045,9.42797895659,23.9721396662
13,-175.741268708,-77.2809005103,-14.55339442,0.0
14,-184.979711259,32.5767146064,-24.5738875141,2.2135049928
15,-168.262806708,-52.2008837118,-17.6878229375,3.83516892766
16,-136.530132909,-57.043544906,7.56134426183,0.0
17,-198.0773806,-63.8148762325,6.68637430604,10.2606866837
18,-219.488703109,-78.0445108935,25.557236792,9.56800669248
19,-187.230441722,-79.5999172371,26.5661792562,0.0
20,-251.999040908,-70.3722569068,-26.2131396403,22.8358931318
21,-177.009103562,-59.025240667,-23.0166764934,3.58512760962
22,-143.852796193,-47.473396439,11.1888885498,0.0
23,-138.75047055,-36.3467686227,7.7749616971,0.0
24,-205.91120607,-28.231619343,-18.9594956299,23.0414712491
25,-252.0,-38.1675292866,-45.253772149,42.4659940648
26,-144.248381957,-12.0671883364,29.4359822954,0.0
27,-117.909506066,8.81733357223,16.3040864016,0.0
28,-130.798491097,4.02953160996,23.9750106093,0.0
29,-252.0,0.118240197,-58.4689565901,50.5005762795
30,-205.315925771,7.55008130443,40.2903116868,16.6025124059
31,-80.2986616092,-0.812217764185,-23.3744919531,0.0
32,-168.637991255,-1.75138180844,-80.2640122152,7.63159145433
33,-252.0,-2.51122908117,-83.3820347476,66.4266402585
34,-252.0,-2.99204424489,-65.3690438031,94.2906320914
35,-252.0,-2.73134771348,-71.8371062502,87.1664145832
36,-252.0,-2.71232606716,-70.4091306355,88.8087580998
37,-252.0,-2.84936158983,-67.8730304914,91.6675038906
38,-252.0,-3.07498900874,-59.9793777693,99.1557933446
39,-252.0,-3.1286072811,-60.0159278733,99.044406474
40,-252.0,-3.19415708175,-60.7654545189,98.3250975631
41,-252.0,-2.97942317674,-62.3373955195,97.2065254415
42,-252.0,-2.69001287043,-72.2537131546,86.5086646938
43,-252.0,-3.01899748229,-64.2422470792,95.440185119
44,-252.0,-2.74502547541,-70.2000504905,89.1478201402
45,-252.0,-2.76727003815,-69.179644991,90.2897921608
46,-252.0,-2.9948055961,-65.0392715221,94.6694618376
47,-252.0,-2.79989544786,-66.560600801,93.1588786824
48,-252.0,-2.84207715709,-66.1237233411,93.6932031092
49,-252.0,-3.00386845148,-65.3250165038,94.2816947773
50,-252.0,-2.84322346693,-70.2524110277,88.8259037081
51,-252.0,-2.81821732306,-66.5792751813,92.9580413595
52,-252.0,-3.1389627073,-61.0694594461,98.1022229574
53,-252.0,-3.06855350389,-58.7417901047,100.255247234
54,-252.0,-3.08421795672,-57.4299824414,101.317636538
55,-252.0,-2.85716717316,-72.7948523037,85.3817326818
56,-252.0,-2.90761834328,-65.6638848289,94.0390626665
57,-252.0,-2.83854311959,-68.7426591218,90.6176029455
58,-252.0,-2.54261728032,-72.1541533714,86.7376288077
59,-252.0,-3.02908819493,-62.2564887887,97.2050863208
60,-252.0,-2.93796312285,-68.8495812334,90.4580072721
61,-252.0,-2.93119493825,-69.0958727327,90.0699944493
62,-252.0,-2.82058916955,-71.4054760045,87.2188215832
63,-252.0,-2.78505582524,-73.2079091206,85.2197143515
64,-108.202621994,-2.64168102483,19.9832404963,0.0
65,-97.6055915226,-3.16588591135,1.90622633617,0.0
66,-108.054697649,-0.495391172549,-1.4386843299,0.0
67,-110.918218385,-0.502995278968,-0.012977917977,0.0
68,-110.917047511,-0.251598896987,-0.00186952049725,0.0
69,-110.945493256,-0.267252435711,0.271293177438,0.0
70,-110.95835695,-0.455886312284,-0.503901699483,0.0
71,-110.962465096,-0.744429496164,-0.245179283916,0.0
72,-110.965792021,-0.641161107424,-0.171879139363,0.0
73,-110.952497912,-0.681086426213,-0.21843106049,0.0
74,-118.168317956,-1.18167929058,-0.273262427958,0.0
75,-152.609249055,-5.35747036692,-45.1309931156,0.0
76,-252.0,-3.27349441677,-53.419519098,111.067464182
77,-252.0,-3.2690053545,2.43979471749,127.164450866
78,-252.0,-3.35090026426,-3.02246814536,127.019043696
79,-128.936621273,-5.57658309997,-37.5263202288,0.0
80,-101.633329232,-2.33607789498,2.56875304226,0.0
81,-106.868261948,-1.39400762631,-13.8361144866,5.91507766089
82,-110.97747642,-0.836186675219,0.134969850502,0.0
83,-107.944199789,-0.408565985968,-0.975329753996,0.0
84,-107.965103077,-0.137967604042,0.285559800438,0.0
85,-110.93188249,-0.733120463797,0.0532686597473,0.0
86,-110.954292086,-0.326141841435,0.32782226972,0.0
87,-110.957145132,-0.350581918483,0.581202716479,0.0
88,-108.001991704,0.0384743868379,0.6442688158,0.0
89,-107.938221061,-0.136742151136,0.0562033512011,0.0
90,-107.99690728,0.0127948718843,-0.148519846538,0.0
91,-107.945007997,-0.0136928917348,-0.140583771907,0.0
92,-110.955149559,-0.571577285367,0.101254656871,0.0
93,-110.980012228,-0.758466987824,0.385606462714,0.0
94,-110.928618551,-0.439305201667,0.353505032527,0.0
95,-110.957931683,-0.419248709819,0.309150612208,0.0
96,-110.96635671,-0.489288221437,0.507365284071,0.0
97,-110.965398601,-0.157264843729,-0.209672266848,0.0
98,-110.955469483,-0.588788041375,0.382553157443,0.0
99,-110.955204216,-0.648816738342,0.236828001821,0.0
100,-110.943319087,-0.663326900169,0.332283812279,0.0
101,-110.990882518,-0.356174463645,-0.113691978362,0.0
102,-110.930785984,-0.725125343241,0.844626124115,0.0
103,-110.901577908,-0.734524919022,0.464954894743,0.0
104,-110.943087874,-0.767674494396,0.955326862413,0.0
105,-110.944457797,-1.10756216664,-0.673376740727,0.0
106,-110.93118144,-0.712617482018,0.0280794082484,0.0
107,-111.013417206,-0.51265217296,-0.890383483134,0.0
108,-107.93108645,-0.687597465693,1.19055363466,0.0
109,-110.97319303,-0.736913272026,0.344173487226,0.0
110,-113.957777848,-0.573508258205,0.87964207382,0.0
111,-107.985295036,-0.0577618998697,0.10100433577,0.0
112,-110.965778037,-0.220133311397,-0.193466493056,0.0
113,-124.567752078,1.15762330685,-1.7281441782,0.0
114,-112.655279186,-1.87283176619,0.600661140797,0.0
115,-103.920057685,-1.76393354896,3.34766305763,0.0
116,-106.519167211,0.752383014358,0.892415751734,0.0
117,-129.05177303,-1.45698473211,-1.03445531916,0.0
118,-122.394626026,-1.06220041903,1.63253968117,0.0
119,-126.242759703,-0.360706552594,1.4806372196,0.0
120,-114.24595376,-1.02486093767,-3.6342651901,0.0
121,-111.074127988,0.521052717999,-1.77485743396,0.0
122,-110.986680941,-2.03576566286,-0.23890784415,0.0
123,-110.962019824,-0.72611103627,-1.84781394312,0.0
124,-110.923899961,-0.921589577701,-0.946042147512,0.0
125,-113.966278647,-0.551657010224,-1.56785652538,0.0
126,-116.990276437,0.201262579798,-3.02606874005,0.0
127,-120.665729292,-1.93961210172,1.20953585959,0.0
128,-119.305711081,-1.98166112518,-2.14841800506,0.0
129,-111.566792821,-1.16161567882,-7.78318526848,0.0
130,-99.429012389,-2.43711364128,16.2759144875,0.0
131,-83.4348491723,-1.68974939655,-7.29540677169,0.0
132,-90.2608263589,-1.26245162509,-8.76922429276,0.0
133,-105.040891664,-3.43345515739,-29.6045473137,0.0
134,-155.24187193,-1.3989944435,-74.905255183,0.0
135,-240.328302359,-3.479947201,-72.2952495643,21.9147628885
136,-152.599641476,-5.58568862839,-14.9206251231,3.12915680188
137,-120.630442154,-2.58040819542,-19.0464575556,0.0
138,-106.576789604,-0.690352798935,-10.5314598585,0.0
139,-95.8781307987,-2.89076965171,-5.12722933962,0.0
140,-140.264579443,-5.4341129792,-16.398430023,0.0
141,-160.136851197,-1.56669747848,7.97600024951,12.230657393
142,-157.376193409,1.64451396532,5.87134821496,13.5505818141
143,-117.318236922,0.823615204529,6.57869814981,0.0
144,-123.748830093,-2.63795400337,4.62656881323,0.0
145,-124.779347039,-5.51419300591,-13.9980572443,0.0
146,-130.455328711,-3.59841815362,3.42745001988,0.0
147,-124.310904342,-4.07406220529,3.09814307586,0.0
148,-128.371115743,-0.774310985975,2.3321733305,0.0
149,-202.23307992,-2.21850078193,-20.9126999024,23.5263697475
150,-140.140840873,-1.25265809919,-55.474822952,0.0
151,-126.683812504,-1.38109655272,45.6281476575,0.0
152,-252.0,-3.56693362544,-30.1128665555,46.8579400323
153,-252.0,-1.79018538402,-101.153945468,59.8195763135
154,-188.415775538,-2.01900604713,-100.148529467,0.0
155,-252.0,-2.20387948866,-112.514329744,31.4566649563
156,-204.169691358,-1.37848548957,-107.190210776,0.0
157,-252.0,-2.1671781456,-109.170834937,29.5412240231
158,-252.0,-3.07352031784,-89.4394216364,81.774867455
159,-252.0,-2.44701108248,-105.227853871,48.1576081958
160,-252.0,-2.13748648998,-108.786703847,31.8556136274
161,-252.0,-3.19702352414,-51.8794137621,115.179104985
162,-252.0,-3.25834826321,-54.2981929266,113.328064023
163,-252.0,-3.28996015517,-33.6144034471,122.055228371
164,-232.133780407,-1.57001933711,-108.798935252,9.89815486118
165,-252.0,-3.11114563741,-86.0668540788,87.1657641039
166,-252.0,-3.29571275125,-24.4073550413,124.727967495
167,-252.0,-3.20182960027,-16.9379687213,126.307422713
168,-252.0,-3.30593241186,-24.899028292,124.454570638
169,-252.0,-3.30161363884,-39.7104186945,120.458618492
170,-252.0,-2.97160584757,-69.2265511925,103.568883879
171,-129.038221392,-1.54429825928,-55.9755502878,0.0
172,-252.0,-1.59729035867,-108.151751575,25.2200573398
173,-120.539903544,3.23285196584,32.5655744444,0.0
174,-109.657704316,0.710630857728,-5.51710552374,0.0
175,-108.292241499,4.01426781392,1.19132497967,0.0
176,-104.702213082,-5.4577368011,2.48594621564,0.0
177,-143.313246896,-32.1092143203,13.5796631263,0.0
178,-240.941061723,-81.2435987037,21.1890232626,14.7094934315
179,-252.0,-73.2143045228,48.7609454416,62.8362143
180,-252.0,55.6975600842,31.1859227746,45.3575910149
181,-252.0,119.529272267,35.3115307394,22.6159588648
182,-252.0,64.785688137,32.719638202,36.9965839693
183,-219.0,150.0,10.0561128346,64.4600022294
184,-172.802361029,22.9332048105,26.789488124,0.0
185,-252.0,96.8938445084,24.6558339879,30.4907960547
186,-252.0,-121.009535791,-29.0324826485,33.3542097583
187,-146.521225446,-19.6224053435,0.0710993125775,0.0
188,-185.411902372,18.2640803572,-4.05556506735,17.8286823666
189,-177.0,150.0,11.9799796467,85.7752626801
190,-209.436364671,-0.475846192285,-9.86290701548,27.178795037
191,-252.0,-48.742194631,-0.491196655207,49.7364656347
192,-87.217524438,-5.79850081133,-15.3381207447,0.0
193,-159.202278087,-11.3709596731,-20.2157176318,8.98747728448
194,-157.193853373,-14.9203218641,-22.7069088667,0.0
195,-223.750385163,-61.8584739393,-8.7775438476,23.4148540719
196,-147.406296734,2.59099922984,-16.8955538133,0.0
197,-90.420553751,-13.6038830753,-0.699328113501,0.0
198,-148.273468367,46.7030097999,4.52452570962,1.92993832619
199,-99.4366220477,0.542045942564,-0.0243809214227,0.0
200,-137.755837699,35.2080832757,8.62633439593,0.0
201,-120.702934019,3.79939729173,-0.472826924065,0.0
202,-103.380715672,6.35044089094,-2.98944256388,0.0
203,-104.954579934,6.0712754318,-5.06528519726,0.0
204,-110.865032358,8.15904208105,-5.28916847614,0.0
205,-143.561191665,-39.8891584768,2.10782138441,0.0
206,-97.3543603301,0.753174140749,0.000478132812701,0.0
207,-115.197453823,16.6834697712,-0.38740775236,0.0
208,-114.9255488,-0.898213427306,0.000719404987565,0.0
209,-116.354688223,-4.25396201892,0.0016741424379,0.0
210,-111.801902667,14.4820853704,0.0582199691613,0.0
211,-125.65845287,6.51398744438,-8.28551623509e-06,0.0
212,-100.851598303,4.80261871184,0.000188612709239,0.0
213,-108.044047156,5.27008038625,5.98533781651e-05,0.0
214,-98.214063494,4.57110491246,-0.000110142163039,0.0
215,-106.485417128,-29.5710350263,0.773374538709,0.0
216,-134.814987336,-26.2734568981,-0.907496170648,0.0
217,-94.4890340082,-17.2803617943,-0.856700059618,0.0
218,-93.158736528,6.15773492999,6.38883904897e-05,0.0
219,-107.063747997,19.9213960552,0.000518443891116,0.0
220,-151.392272885,-15.5976111487,-0.309470392272,0.0
221,-123.438542076,28.6319157387,0.00191568703956,0.0
222,-164.438731916,27.1735052514,-0.00159890726507,0.0
223,-184.742519869,61.0210341594,0.0102985046095,0.0
224,-131.00466133,9.95297998302,-0.000104569963042,0.0
225,-157.044079188,6.42797524971,-8.77136215436e-05,8.92245050176
226,-120.752118478,-5.06044626893,-0.0379058041889,0.0
227,-114.674012444,-8.03449730309,0.0379119545675,0.0
228,-112.221865244,-7.97169295924,-0.635865108668,0.0
229,-114.537090344,-7.6341304558,-0.597818686064,0.0
230,-114.979683528,-7.69720284961,-0.563591616719,0.0
231,-115.186801723,-7.56178911057,-0.734716877123,0.0
232,-113.814138762,-8.29170258428,0.321909636747,0.0
233,-114.642828919,-8.16706880851,0.50347534256,0.0
234,-111.878974278,-7.73978298774,-0.0265069910344,0.0
235,-111.400733618,-8.13240696961,-1.55749736334,0.0
236,-111.554730456,-7.83399329429,-1.69613133429,0.0
237,-123.380110383,-7.37904575828,-1.26161614785,0.0
238,-123.398597095,-6.69306228075,-6.33318061302,0.0
239,-107.75967011,-5.12113099993,-3.13629942442,0.0
240,-117.610200382,-7.07484459425,-0.974979394673,0.0
241,-126.121446601,-14.6193426178,-7.63551769334,0.0
242,-109.514076929,-11.599697828,-5.07495428349,0.0
243,-252.0,-14.2357410109,18.4934078639,52.4255560117
244,-161.641379722,-7.93254148985,-81.5821755415,0.0
245,-252.0,-16.8260404225,-108.01840588,48.0282254658
246,-88.4221082415,-12.2850511788,-13.269521995,0.0
247,-156.370713214,-11.8648509438,36.8838589021,0.0
248,-141.264470242,-12.5238742255,38.5434930048,0.0
249,-132.962662137,-18.9176751746,-28.0080164399,0.0
250,-128.09148207,-15.9485675541,-6.85542804185,0.0
251,-115.093700111,-11.0448565584,-4.62539498371,0.0
252,-121.411903621,-7.52855842739,-2.76247042934,0.0
253,-124.912068859,-5.77677818023,-0.453138557113,0.0
254,-112.918667487,-4.51216801193,-4.89611013091,0.0
255,-125.624254602,-5.65877748914,-5.19089268925,0.0
256,-124.499963838,-8.43947455779,-3.93977987463,0.0
257,-121.256938463,-8.5272637714,-0.838976398625,0.0
258,-120.599393305,-5.90970516073,3.13323919629,0.0
259,-116.872552132,-7.5529170324,1.78326545661,0.0
260,-118.388822469,-8.17723717443,2.65347335591,0.0
261,-116.665350326,-6.7423749978,-0.976080463875,0.0
262,-124.907992462,-10.478790005,3.88505360572,0.0
263,-123.121012319,-8.85595541878,6.02092779736,0.0
264,-119.452433659,-7.97082016782,-3.09046331567,0.0
265,-116.628257074,-7.45571082034,1.26284973169,0.0
266,-129.565256593,-6.94373642429,2.06022111948,0.0
267,-117.188656998,-5.57420984733,-1.90613344583,0.0
268,-114.187005512,-6.98682916816,2.48777905579,0.0
269,-123.80878358,-5.51980477737,5.83121436959,0.0
270,-120.810599695,-7.35564185743,-6.24697860934,0.0
271,-114.677289924,-7.32272300193,-3.91961774269,0.0
272,-111.439449005,-8.52475112605,-1.19516072545,0.0
273,-111.380580783,-8.56210078539,-0.516785001779,0.0
274,-111.813694746,-8.64210114725,0.0351800267124,0.0
275,-111.734609919,-8.69183889245,-0.314136077898,0.0
276,-111.194345334,-8.61771687851,-0.859477859785,0.0
277,-111.657620906,-7.99754289269,-0.696244222151,0.0
278,-111.695039658,-8.05419456085,-0.343481913628,0.0
279,-111.026926221,-8.0462655665,-0.389851994781,0.0
280,-111.532888383,-8.10725596255,-0.217603335722,0.0
281,-112.368512292,-8.12065058513,-0.151989193009,0.0
282,-111.330954473,-8.06616858691,-0.330438805611,0.0
283,-114.209427195,-7.75383650058,-0.729929785485,0.0
284,-114.590734176,-8.43120133995,-0.0659853860112,0.0
285,-115.214999945,-8.30785500167,-0.0986513185797,0.0
286,-117.028663495,-7.98136436928,0.0688027425313,0.0
287,-114.806268277,-8.5780732749,-0.0536359716757,0.0
288,-117.429779838,-8.03295665656,0.0502917561624,0.0
289,-115.523464983,-8.14947328587,0.0219808656154,0.0
290,-115.051974597,-8.21777338226,0.0082114074626,0.0
291,-114.326726455,-8.17309037391,0.00321874550462,0.0
292,-115.168035907,-7.70622111247,0.000105440204452,0.0
293,-114.642177873,-8.40919975046,-0.00161505283167,0.0
294,-115.032305995,-8.28972770199,-0.00536033751252,0.0
295,-114.871446145,-8.11758220308,-0.0106567094154,0.0
