time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.09762499166e-08,1.27751350421e-06,10.0044327254,0.000839010640044,7.73734995567e-05,0.0,-6.71384583464e-06,9.81969890726e-05,0.147749098488,0.0329196011838,0.003751593028,0.0,451.01365844464743,451.3164771954493,451.09965327242867,453.749630099434
0.12000000000000001,-3.25795430766e-06,3.33829304018e-05,10.0174771891,0.00257354557226,0.000482943665857,0.0,-0.000134156826896,0.00117361843181,0.287040601386,0.0193558700146,0.0121830968322,0.0,448.75050363276983,449.4341788377332,449.91762391967006,448.81853710954425
0.18,-2.44832011544e-05,0.000163493479669,10.0384513619,0.00372244892049,0.00111996044501,0.0,-0.000645849908744,0.00328541346316,0.412060624019,0.0187301979991,0.00728469844297,0.0,445.26871441164064,444.8677475612847,444.70568059665237,444.65439082047203
0.23999999999999996,-9.0370596052e-05,0.000447530790983,10.0676402747,0.00478629283229,0.00200393492996,0.0,-0.00162584595177,0.00630181933263,0.560840730587,0.0156530235291,0.0265394219475,0.0,451.5615341734883,453.11178758204994,452.4185998294054,452.1707356269826
0.3,-0.000232561219737,0.000922127052599,10.1030871086,0.005350770757,0.00342327460475,0.0,-0.00325913215299,0.00959443976549,0.620688626084,-0.00758090411478,0.0171549915809,0.0,424.40900980208556,423.6029943436152,425.61338099926326,423.6204318610367
0.36000000000000004,-0.000500510204226,0.0016040559835,10.1426693699,0.00560994232265,0.00459336563172,0.0,-0.00578129766182,0.0131334327153,0.698674774353,0.0212124484806,0.0238236136702,0.0,430.37373834219625,430.937694616031,428.6748142262268,431.11422770248925
0.4200000000000001,-0.000963771746415,0.00253144017319,10.1906717871,0.00732797807013,0.00670626751485,0.0,-0.0098751715682,0.0179573926955,0.901265583269,0.0404052663455,0.0515759280864,0.0,467.78620039752695,469.9424399339926,468.09878673594704,469.58993523163633
0.48000000000000015,-0.00174369423444,0.00380819084128,10.2527329195,0.00956940832908,0.0102928223514,0.0,-0.0165479700803,0.0248954168679,1.16719991829,0.030433962963,0.0725159401944,0.0,486.18378330021613,487.7520571306065,488.5345870889164,487.7911368521455
0.5400000000000001,-0.00295219445352,0.00549436083752,10.3245392407,0.0112390059932,0.0143406900325,0.0,-0.0241401392127,0.0314778215713,1.22627567889,0.0220233489537,0.0547318769189,0.0,425.06903666303714,423.5460006693475,426.30200031485276,425.5830319911188
0.6000000000000002,-0.00469578665823,0.00760986009881,10.4002071121,0.0126106026357,0.01738543867,0.0,-0.0342884956704,0.0391691793911,1.2959034419,0.0244825508177,0.0412657554721,0.0,428.96854312772405,427.82534340378476,428.9271177825686,429.1359533688409
0.6600000000000003,-0.00712679359163,0.0102297539798,10.4812463517,0.0140087656598,0.019586469606,0.0,-0.0469867544964,0.0483071648376,1.40526937372,0.0208322943284,0.0254336573975,0.0,442.39652962346173,441.0917339885203,441.59163238576906,441.2905062073133
0.7200000000000003,-0.0102919834139,0.0133760979661,10.5653162967,0.0152353226008,0.020956149935,0.0,-0.0586448651361,0.056677468885,1.39706766985,0.0196517190801,0.0170286474311,0.0,402.9885916336142,402.22829541569064,403.8432070494722,403.7367406922192
0.7800000000000004,-0.0142398237659,0.0170908523046,10.6517731642,0.0168935322592,0.0216625610473,0.0,-0.0730370938416,0.0672914249095,1.48471300393,0.0401153846634,-0.00164144311712,0.0,436.2297757563144,434.6680112540453,433.6674987387639,435.3830359173475
0.8400000000000004,-0.0191297194162,0.0215348816323,10.7466471,0.0192947235072,0.0213296533859,0.0,-0.0899306651866,0.0811164028534,1.67748328506,0.0398281558029,-0.014807382531,0.0,467.71877496505573,466.69244522275244,468.0708316253721,468.0492121310436
0.9000000000000005,-0.0249224656145,0.0267717446494,10.8483759798,0.0212366024013,0.0205050587,0.0,-0.103080870085,0.0936517070837,1.71342264646,0.0100533297724,-0.0116957264273,0.0,419.1702703551678,419.4406741088892,419.99612539103,417.4063324962945
0.9600000000000005,-0.0315772617318,0.0328824710879,10.9565574179,0.0214930321308,0.0193145222552,0.0,-0.118643852175,0.110085997827,1.89234608691,-0.0109687073294,-0.045858846372,0.0,465.5913495338915,462.91088599686594,464.93590091238167,463.28602828740776
1.0200000000000005,-0.0390849572442,0.0399292328515,11.0731083468,0.0204226153677,0.0165148625995,0.0,-0.131326880726,0.124719897728,1.99252190571,-0.037406630129,-0.0483150334286,0.0,441.6734519111577,441.46953128393454,440.6119799780225,438.42092902858303
1.0800000000000005,-0.0472976378425,0.047828960945,11.1958199332,0.0184372098721,0.0134603791595,0.0,-0.142121470761,0.138384019597,2.09768608211,-0.0256169413125,-0.0566744059129,0.0,442.61281864395744,441.92265981200455,442.18677632316377,443.15641680142727
1.1400000000000006,-0.0561211675669,0.0565501747841,11.3270704622,0.0164326332007,0.00982157998726,0.0,-0.151593972272,0.152124660449,2.2770004298,-0.0574173583331,-0.0700860669647,0.0,465.8759446028255,464.82365942195355,467.0707633511036,464.5835606927376
1.2000000000000006,-0.0654023700356,0.066000194705,11.4664756006,0.0125119058902,0.00555143595372,0.0,-0.157351046303,0.162509643262,2.36966055431,-0.0900817313305,-0.0734268666062,0.0,439.9626752819098,439.68204291340817,440.79324815069214,438.08199572530924
1.2600000000000007,-0.074952405162,0.0760127505121,11.6138278444,0.00687493201099,0.00109050965015,0.0,-0.160483253052,0.170616646947,2.54172590006,-0.103088575664,-0.0762583209118,0.0,465.32419665311807,465.0984429689906,464.2470304903394,463.21819122802566
